,Live Spectrum 8/25/2018 9:11:41 PM
Wavelength [nm],Intensity
691.407,1599.863
691.845,1598.275
692.283,1595.392
692.721,1593.529
693.158,1592.941
693.596,1593.118
694.033,1593.608
694.471,1593.647
694.908,1591.490
695.345,1590.549
695.782,1589.843
696.219,1588.863
696.656,1586.765
697.092,1585.647
697.529,1584.627
697.966,1584.157
698.402,1584.431
698.838,1584.961
699.274,1586.569
699.711,1588.510
700.147,1589.922
700.583,1590.098
701.018,1589.686
701.454,1587.980
701.89,1587.451
702.325,1586.235
702.76,1585.961
703.196,1584.961
703.631,1585.431
704.066,1585.980
704.501,1587.275
704.936,1589.490
705.371,1591.235
705.805,1592.078
706.24,1593.353
706.674,1594.510
707.109,1595.608
707.543,1596.137
707.977,1596.667
708.411,1597.490
708.845,1598.510
709.279,1597.980
709.712,1598.706
710.146,1598.725
710.58,1599.431
711.013,1599.373
711.446,1599.510
711.879,1598.863
712.313,1597.333
712.746,1596.294
713.178,1596.725
713.611,1595.314
714.044,1593.647
714.477,1591.686
714.909,1589.922
715.341,1588.333
715.774,1586.039
716.206,1583.569
716.638,1582.529
717.07,1581.549
717.502,1581.255
717.933,1580.588
718.365,1580.098
718.797,1579.294
719.228,1578.961
719.659,1578.941
720.091,1579.353
720.522,1579.510
720.953,1580.784
721.384,1582.177
721.815,1583.843
722.245,1586.235
722.676,1588.882
723.106,1591.039
723.537,1593.431
723.967,1596.882
724.397,1599.804
724.828,1602.137
725.258,1607.961
725.687,1613.863
726.117,1619.078
726.547,1622.333
726.976,1625.275
727.406,1626.941
727.835,1627.569
728.265,1628.549
728.694,1629.843
729.123,1629.314
729.552,1628.177
729.981,1627.000
730.409,1626.882
730.838,1626.059
731.267,1623.863
731.695,1621.275
732.123,1618.941
732.552,1612.961
732.98,1607.000
733.408,1601.804
733.836,1598.235
734.264,1595.569
734.691,1592.549
735.119,1591.020
735.546,1589.686
735.974,1588.510
736.401,1587.510
736.828,1587.431
737.255,1587.098
737.682,1586.529
738.109,1587.078
738.536,1587.765
738.963,1587.392
739.389,1587.627
739.816,1588.098
740.242,1587.529
740.669,1587.745
741.095,1586.863
741.521,1585.725
741.947,1586.647
742.373,1586.216
742.798,1585.216
743.224,1583.569
743.65,1583.275
744.075,1582.176
744.5,1581.745
744.926,1580.765
745.351,1579.431
745.776,1576.882
746.201,1575.647
746.626,1574.078
747.05,1573.314
747.475,1573.235
747.899,1573.353
748.324,1574.177
748.748,1575.608
749.172,1575.373
749.596,1576.431
750.02,1577.608
750.444,1578.706
750.868,1580.157
751.292,1582.196
751.715,1583.745
752.139,1584.510
752.562,1585.235
752.986,1586.373
753.409,1586.804
753.832,1585.627
754.255,1584.941
754.678,1585.314
755.1,1586.353
755.523,1587.177
755.946,1587.961
756.368,1588.647
756.79,1589.059
757.213,1589.294
757.635,1588.941
758.057,1588.059
758.479,1587.235
758.901,1586.490
759.322,1586.529
759.744,1586.902
760.165,1587.961
760.587,1589.725
761.008,1592.706
761.429,1594.255
761.85,1595.451
762.271,1595.196
762.692,1594.706
763.113,1593.843
763.534,1593.078
763.954,1592.137
764.375,1591.882
764.795,1591.314
765.216,1591.882
765.636,1593.137
766.056,1594.098
766.476,1595.059
766.896,1595.177
767.315,1595.373
767.735,1595.784
768.155,1595.765
768.574,1595.647
768.993,1594.118
769.413,1592.137
769.832,1590.706
770.251,1588.451
770.67,1587.529
771.088,1586.902
771.507,1585.529
771.926,1585.549
772.344,1584.765
772.763,1583.118
773.181,1582.275
773.599,1581.471
774.017,1581.549
774.435,1581.157
774.853,1579.471
775.271,1578.294
775.689,1578.235
776.106,1578.980
776.524,1580.353
776.941,1582.471
777.359,1584.333
777.776,1585.765
778.193,1586.490
778.61,1588.314
779.027,1589.843
779.443,1591.078
779.86,1592.196
780.276,1592.569
780.693,1593.118
781.109,1593.275
781.526,1593.039
781.942,1593.784
782.358,1593.745
782.774,1592.686
783.189,1591.961
783.605,1591.216
784.021,1589.745
784.436,1589.510
784.852,1589.177
785.267,1588.882
785.682,1588.823
786.097,1587.510
786.512,1586.647
786.927,1585.882
787.342,1585.118
787.757,1584.333
788.171,1583.294
788.586,1583.020
789,1582.902
789.414,1582.823
789.829,1583.333
790.243,1583.765
790.657,1584.137
791.07,1584.961
791.484,1583.490
791.898,1581.686
792.311,1579.784
792.725,1577.843
793.138,1577.686
793.552,1576.765
793.965,1575.823
794.378,1574.725
794.791,1574.098
795.203,1574.039
795.616,1574.922
796.029,1575.451
796.441,1577.569
796.854,1579.059
797.266,1579.627
797.678,1580.529
798.09,1582.686
798.502,1585.941
798.914,1589.725
799.326,1593.177
799.738,1596.823
800.149,1598.843
800.561,1600.667
800.972,1603.137
801.383,1604.510
801.795,1605.020
802.206,1604.608
802.617,1603.667
803.027,1603.098
803.438,1601.823
803.849,1600.431
804.259,1599.941
804.67,1598.588
805.08,1596.333
805.49,1594.882
805.901,1594.667
806.311,1593.471
806.721,1592.216
807.13,1592.039
807.54,1591.804
807.95,1590.314
808.359,1589.804
808.769,1591.275
809.178,1592.137
809.587,1592.451
809.996,1592.882
810.405,1593.157
810.814,1592.843
811.223,1593.000
811.632,1593.647
812.04,1593.196
812.449,1591.980
812.857,1589.471
813.265,1588.922
813.674,1587.412
814.082,1586.863
814.49,1587.078
814.897,1587.725
815.305,1589.608
815.713,1589.745
816.12,1591.667
816.528,1592.353
816.935,1593.020
817.342,1592.765
817.75,1594.569
818.157,1596.118
818.564,1597.353
818.97,1599.294
819.377,1601.647
819.784,1604.216
820.19,1605.843
820.597,1607.255
821.003,1606.608
821.409,1606.333
821.815,1606.255
822.221,1605.569
822.627,1604.177
823.033,1602.725
823.439,1602.608
823.844,1601.569
824.25,1601.078
824.655,1600.235
825.06,1599.588
825.466,1598.804
825.871,1597.020
826.276,1595.039
826.68,1592.804
827.085,1591.353
827.49,1590.294
827.894,1590.000
828.299,1589.706
828.703,1588.804
829.107,1588.412
829.512,1588.961
829.916,1589.529
830.319,1589.569
830.723,1590.353
831.127,1591.667
831.531,1593.157
831.934,1593.177
832.338,1593.059
832.741,1593.647
833.144,1594.804
833.547,1595.882
833.95,1596.725
834.353,1597.882
834.756,1598.118
835.159,1598.706
835.561,1599.823
835.964,1600.373
836.366,1600.078
836.768,1599.647
837.17,1599.863
837.572,1600.235
837.974,1599.667
838.376,1597.804
838.778,1596.647
839.18,1596.373
839.581,1595.745
839.983,1596.294
840.384,1595.980
840.785,1597.451
841.186,1598.373
841.588,1599.745
841.988,1599.588
842.389,1599.823
842.79,1599.608
843.191,1599.843
843.591,1599.196
843.992,1598.431
844.392,1597.137
844.792,1596.000
845.192,1595.118
845.592,1594.922
845.992,1594.549
846.392,1593.902
846.791,1592.451
847.191,1591.451
847.591,1589.529
847.99,1587.569
848.389,1586.765
848.788,1587.039
849.187,1586.549
849.586,1587.078
849.985,1587.255
850.384,1587.569
850.783,1588.216
851.181,1589.647
851.58,1591.039
851.978,1592.431
852.376,1594.157
852.774,1596.098
853.172,1597.549
853.57,1599.804
853.968,1601.941
854.366,1602.098
854.764,1603.039
855.161,1604.000
855.558,1606.431
855.956,1608.235
856.353,1610.118
856.75,1611.823
857.147,1614.157
857.544,1615.569
857.941,1615.843
858.337,1615.706
858.734,1615.804
859.131,1615.294
859.527,1614.412
859.923,1614.745
860.319,1613.823
860.715,1612.980
861.111,1613.373
861.507,1611.549
861.903,1609.627
862.299,1605.863
862.694,1603.412
863.09,1600.157
863.485,1597.490
863.88,1596.235
864.275,1596.235
864.67,1594.980
865.065,1594.667
865.46,1593.588
865.855,1592.216
866.25,1591.725
866.644,1590.275
867.038,1588.098
867.433,1587.294
867.827,1584.902
868.221,1586.235
868.615,1585.510
869.009,1584.647
869.403,1583.843
869.796,1583.196
870.19,1582.686
870.583,1580.902
870.977,1578.294
871.37,1577.490
871.763,1576.627
872.156,1576.961
872.549,1577.431
872.942,1578.137
873.335,1579.000
873.728,1580.078
874.12,1580.353
874.513,1583.294
874.905,1582.745
875.297,1584.157
875.689,1585.000
876.081,1585.804
876.473,1586.392
876.865,1586.980
877.257,1587.392
877.648,1588.961
878.04,1589.608
878.431,1590.137
878.823,1591.000
879.214,1591.823
879.605,1590.647
879.996,1589.745
880.387,1589.431
880.778,1588.961
881.168,1587.216
881.559,1587.333
881.949,1587.039
882.34,1586.922
882.73,1586.216
883.12,1585.529
883.51,1584.549
883.9,1583.765
884.29,1582.353
884.68,1582.294
885.07,1583.431
885.459,1583.471
885.849,1583.588
886.238,1585.353
886.627,1587.588
887.016,1587.627
887.405,1588.765
887.794,1588.961
888.183,1589.216
888.572,1590.647
888.96,1591.922
889.349,1593.373
889.737,1594.020
890.126,1594.941
890.514,1596.157
890.902,1597.118
891.29,1598.000
891.678,1598.039
892.066,1597.882
892.453,1597.725
892.841,1596.137
893.228,1594.843
893.616,1595.863
894.003,1594.784
894.39,1595.039
894.777,1593.843
895.164,1591.941
895.551,1590.137
895.938,1588.823
896.325,1588.039
896.711,1587.098
897.097,1585.392
897.484,1582.471
897.87,1580.157
898.256,1577.569
898.642,1576.843
899.028,1575.353
899.414,1575.353
899.8,1574.647
900.185,1573.294
900.571,1573.745
900.956,1573.549
901.342,1574.078
901.727,1574.490
902.112,1575.941
902.497,1577.118
902.882,1578.686
903.267,1579.686
903.651,1581.020
904.036,1583.569
904.42,1585.078
904.805,1587.039
905.189,1586.725
905.573,1587.235
905.957,1586.686
906.341,1586.686
906.725,1587.235
907.109,1587.373
907.492,1588.000
907.876,1588.863
908.259,1590.922
908.643,1591.431
909.026,1591.235
909.409,1590.275
909.792,1590.314
910.175,1589.608
910.558,1589.157
910.941,1589.961
911.323,1590.294
911.706,1591.157
912.088,1591.216
912.471,1591.961
912.853,1592.275
913.235,1592.177
913.617,1592.000
913.999,1590.843
914.38,1589.020
914.762,1586.255
915.144,1585.647
915.525,1585.196
915.907,1585.373
916.288,1585.627
916.669,1586.431
917.05,1587.373
917.431,1586.647
917.812,1585.118
918.193,1584.843
918.573,1585.451
918.954,1586.216
919.334,1586.392
919.715,1587.294
920.095,1588.275
920.475,1590.471
920.855,1592.196
921.235,1593.000
921.615,1591.961
921.995,1591.177
922.374,1591.118
922.754,1591.216
923.133,1591.294
923.512,1590.333
