,far red absorbing state
Wavelength [nm],?fr
578.67,74.306
579.134,75.1412
579.598,75.9764
580.061,76.822
580.525,77.75
580.988,78.676
581.452,79.604
581.915,80.53
582.378,81.3615
582.841,82.17175
583.304,82.982
583.766,83.7905
584.229,85.2076
584.692,87.2448
585.154,89.2776
585.617,91.3148
586.079,93.08295
586.541,93.56805
587.003,94.05315
587.465,94.53825
587.927,95.02335
588.389,95.9947
588.85,97.055
589.312,98.1176
589.773,99.1779
590.235,100.91025
590.696,103.2844
591.157,105.65855
591.618,108.0327
592.079,110.4345
592.54,112.97
593.001,115.5055
593.461,118.0355
593.922,120.571
594.382,121.573
594.842,122.263
595.303,122.9545
595.763,123.6445
596.223,125.338
596.683,128.098
597.143,130.858
597.602,133.612
598.062,136.31
598.521,138.605
598.981,140.905
599.44,143.2
599.899,145.495
600.358,146.358
600.817,146.817
601.276,147.276
601.735,147.735
602.193,148.8685
602.652,150.934
603.11,152.995
603.569,155.0605
604.027,157.054
604.485,157.97
604.943,158.886
605.401,159.802
605.859,160.718
606.317,162.585
606.774,164.87
607.232,167.16
607.689,169.445
608.146,171.584
608.604,173.416
609.061,175.244
609.518,177.072
609.975,178.9
610.431,181.8015
610.888,184.772
611.345,187.7425
611.801,190.7065
612.258,192.903
612.714,194.499
613.17,196.095
613.626,197.691
614.082,199.533
614.538,202.497
614.994,205.461
615.449,208.4185
615.905,211.3825
616.36,213.08
616.816,214.448
617.271,215.813
617.726,217.178
618.181,219.267
618.636,222.452
619.091,225.637
619.546,228.822
620,232
620.455,234.73
620.909,237.454
621.363,240.178
621.818,242.908
622.272,245.768
622.726,248.719
623.18,251.67
623.633,254.6145
624.087,257.522
624.541,260.246
624.994,262.964
625.448,265.688
625.901,268.406
626.354,271.301
626.807,274.2455
627.26,277.19
627.713,280.1345
628.166,283.577
628.618,287.871
629.071,292.1745
629.523,296.4685
629.976,300.772
630.428,305.28
630.88,309.8
631.332,314.32
631.784,318.84
632.236,322.416
632.688,325.128
633.139,327.834
633.591,330.546
634.042,333.399
634.493,337.6835
634.945,341.9775
635.396,346.262
635.847,350.5465
636.298,355.576
636.748,360.976
637.199,366.388
637.65,371.8
638.1,377
638.551,381.51
639.001,386.01
639.451,390.51
639.901,395.01
640.351,399.51
640.801,404.01
641.251,408.51
641.7,413
642.15,417.725
642.599,422.8885
643.049,428.0635
643.498,433.227
643.947,438.3905
644.396,443.158
644.845,447.8725
645.294,452.587
645.743,457.3015
646.191,462.3875
646.64,468
647.088,473.6
647.536,479.2
647.985,484.8125
648.433,490.4125
648.881,496.0125
649.329,501.6125
649.776,507.2
650.224,512.352
650.672,517.056
651.119,521.7495
651.567,526.4535
652.014,531.189
652.461,537.2235
652.908,543.258
653.355,549.2925
653.802,555.327
654.249,561.6105
654.695,568.0775
655.142,574.559
655.588,581.026
656.035,587.42
656.481,592.772
656.927,598.124
657.373,603.476
657.819,608.828
658.265,614.0475
658.71,619.165
659.156,624.294
659.602,629.423
660.047,634.611
660.492,640.396
660.938,646.194
661.383,651.979
661.828,657.764
662.273,662.73
662.717,667.17
663.162,671.62
663.607,676.07
664.051,680.6375
664.495,686.1875
664.94,691.75
665.384,697.3
665.828,702.85
666.272,707.584
666.716,711.802
667.16,716.02
667.603,720.2285
668.047,724.376
668.49,727.92
668.934,731.472
669.377,735.016
669.82,738.56
670.263,741.841
670.706,744.942
671.149,748.043
671.591,751.137
672.034,754.187
672.477,756.6235
672.919,759.0545
673.361,761.4855
673.804,763.922
674.246,767.337
674.688,771.536
675.13,775.735
675.571,779.9245
676.013,784.091
676.455,787.185
676.896,790.272
677.337,793.359
677.779,796.453
678.22,799.21
678.661,801.6355
679.102,804.061
679.543,806.4865
679.984,808.912
680.424,812.604
680.865,816.3525
681.305,820.0925
681.746,823.841
682.186,827.488
682.626,831.008
683.066,834.528
683.506,838.048
683.946,841.568
684.385,844.8875
684.825,848.1875
685.265,851.4875
685.704,854.78
686.143,858.5015
686.583,863.1215
687.022,867.731
687.461,872.3405
687.9,876.95
688.338,881.549
688.777,886.1585
689.216,890.768
689.654,895.367
690.092,899.828
690.531,903.779
690.969,907.721
691.407,911.663
691.845,915.605
692.283,920.5375
692.721,926.0125
693.158,931.475
693.596,936.95
694.033,942.3795
694.471,947.4165
694.908,952.442
695.345,957.4675
695.782,962.493
696.219,968.1755
696.656,974.512
697.092,980.834
697.529,987.1705
697.966,993.507
698.402,1000.633
698.838,1007.827
