,Relative Quantum Efficiency
Wavelength [nm],RQE
529.867,0.759335
530.342,0.76171
530.816,0.76408
531.291,0.766455
531.765,0.768825
532.239,0.771195
532.713,0.773565
533.187,0.775935
533.661,0.778305
534.135,0.78135
534.608,0.78608
535.082,0.79082
535.555,0.79555
536.029,0.800145
536.502,0.80251
536.975,0.804875
537.448,0.80724
537.921,0.809605
538.394,0.81197
538.867,0.814335
539.339,0.816695
539.812,0.81906
540.284,0.82142
540.757,0.823785
541.229,0.826145
541.701,0.828505
542.173,0.830865
542.645,0.833225
543.117,0.835585
543.588,0.83794
544.06,0.8403
544.531,0.842655
545.003,0.845015
545.474,0.84737
545.945,0.849725
546.416,0.85208
546.887,0.854435
547.358,0.85679
547.829,0.859145
548.299,0.861495
548.77,0.86385
549.24,0.8662
549.711,0.868555
550.181,0.870905
550.651,0.873255
551.121,0.875605
551.591,0.877955
552.061,0.88
552.531,0.88
553,0.88
553.47,0.88
553.939,0.88
554.409,0.882045
554.878,0.88439
555.347,0.886735
555.816,0.88908
556.285,0.891425
556.754,0.89377
557.222,0.89611
557.691,0.898455
558.159,0.900795
558.628,0.90314
559.096,0.90548
559.564,0.90782
560.032,0.91
560.5,0.91
560.968,0.91
561.436,0.91
561.903,0.91
562.371,0.911855
562.838,0.91419
563.306,0.91653
563.773,0.918865
564.24,0.9212
564.707,0.923535
565.174,0.92587
565.641,0.928205
566.108,0.93
566.574,0.93
567.041,0.93
567.507,0.93
567.973,0.93
568.44,0.9322
568.906,0.93453
569.372,0.93686
569.838,0.93919
570.304,0.94
570.769,0.94
571.235,0.94
571.7,0.94
572.166,0.94083
572.631,0.943155
573.096,0.94548
573.561,0.947805
574.026,0.95
574.491,0.95
574.956,0.95
575.42,0.95
575.885,0.95
576.349,0.951745
576.814,0.95407
577.278,0.95639
577.742,0.95871
578.206,0.96
578.67,0.96
579.134,0.96
579.598,0.96
580.061,0.960305
580.525,0.962625
580.988,0.96494
581.452,0.96726
581.915,0.969575
582.378,0.97
582.841,0.97
583.304,0.97
583.766,0.97
584.229,0.971145
584.692,0.97346
585.154,0.97577
585.617,0.978085
586.079,0.98
586.541,0.98
587.003,0.98
587.465,0.98
587.927,0.98
588.389,0.981945
588.85,0.98425
589.312,0.98656
589.773,0.988865
590.235,0.99
590.696,0.99
591.157,0.99
591.618,0.99
592.079,0.99
592.54,0.99
593.001,0.99
593.461,0.99
593.922,0.99
594.382,0.99191
594.842,0.99421
595.303,0.996515
595.763,0.998815
596.223,1
596.683,1
597.143,1
597.602,1
598.062,1
598.521,1
598.981,1
599.44,1
599.899,1
600.358,1
600.817,1
601.276,1
601.735,1
602.193,1
602.652,1
603.11,1
603.569,1
604.027,1
604.485,1
604.943,1
605.401,1
605.859,1
606.317,1
606.774,1
607.232,1
607.689,1
608.146,1
608.604,1
609.061,1
609.518,1
609.975,1
610.431,1
610.888,1
611.345,1
611.801,1
612.258,1
612.714,1
613.17,1
613.626,1
614.082,1
614.538,1
614.994,1
615.449,1
615.905,1
616.36,1
616.816,1
617.271,1
617.726,1
618.181,1
618.636,1
619.091,1
619.546,1
620,1
620.455,1
620.909,1
621.363,1
621.818,1
622.272,1
622.726,1
623.18,1
623.633,1
624.087,1
624.541,1
624.994,1
625.448,1
625.901,1
626.354,0.99823
626.807,0.995965
627.26,0.9937
627.713,0.991435
628.166,0.99
628.618,0.99
629.071,0.99
629.523,0.99
629.976,0.99
630.428,0.99
630.88,0.99
