,red absorbing state
Wavelength [nm],?r
482.856,80.4056
483.341,78.0291
483.825,75.6575
484.31,74.8
484.794,74.8
485.279,74.8
485.763,74.8
486.247,74.8
486.731,74.8
487.215,74.8
487.699,74.8
488.182,74.8
488.666,74.8
489.149,74.8
489.633,74.8
490.116,74.4462
490.599,72.97305
491.082,71.4999
491.565,70.02675
492.048,68.7
492.531,68.7
493.013,68.7
493.496,68.7
493.978,68.7
494.461,68.7
494.943,68.7
495.425,68.7
495.907,68.7
496.389,68.7
496.871,68.7
497.353,68.7
497.834,68.7
498.316,68.7
498.797,68.7
499.279,68.7
499.76,68.7
500.241,69.70015
500.722,71.6963
501.203,73.69245
501.684,75.6886
502.164,77
502.645,77
503.125,77
503.606,77
504.086,77
504.566,77
505.046,77
505.526,77
506.006,77
506.486,77
506.965,77
507.445,77
507.924,77
508.404,77
508.883,77
509.362,77
509.841,77
510.32,77
510.799,77
511.278,77
511.756,77
512.235,78.3395
512.713,81.0641
513.192,83.7944
513.67,86.519
514.148,88.7922
514.626,90.0589
515.104,91.3256
515.582,92.5923
516.059,94.18085
516.537,98.07655
517.014,101.9641
517.492,105.8598
517.969,109.74735
518.446,110
518.923,110
519.4,110
519.877,110
520.354,109.823
520.83,109.585
521.307,109.3465
521.783,109.1085
522.26,110.69
522.736,113.784
523.212,116.878
523.688,119.972
524.164,122.656
524.64,124.56
525.116,126.464
525.591,128.364
526.067,130
526.542,130
527.018,130
527.493,130
527.968,130
528.443,131.5505
528.918,133.213
529.393,134.8755
529.867,136.5345
530.342,139.736
530.816,143.528
531.291,147.328
531.765,151.12
532.239,154.7925
532.713,158.3475
533.187,161.9025
533.661,165.4575
534.135,168
534.608,168
535.082,168
535.555,168
536.029,168.261
536.502,172.518
536.975,176.775
537.448,181.032
537.921,185.289
538.394,189.152
538.867,192.936
539.339,196.712
539.812,200.496
540.284,204.698
540.757,209.1915
541.229,213.6755
541.701,218.1595
542.173,222.557
542.645,226.805
543.117,231.053
543.588,235.292
544.06,239.39
544.531,242.4515
545.003,245.5195
545.474,248.581
545.945,251.6425
546.416,255.744
546.887,259.983
547.358,264.222
547.829,268.461
548.299,275.083
548.77,283.09
549.24,291.08
549.711,299.087
550.181,304.6335
550.651,306.2785
551.121,307.9235
551.591,309.5685
552.061,311.976
552.531,319.496
553,327
553.47,334.52
553.939,342.024
554.409,348.317
554.878,354.414
555.347,360.511
555.816,366.608
556.285,373.845
556.754,381.818
557.222,389.774
557.691,397.747
558.159,404.431
558.628,408.652
559.096,412.864
559.564,417.076
560.032,421.224
560.5,424.5
560.968,427.776
561.436,431.052
561.903,434.321
562.371,441.1215
562.838,448.827
563.306,456.549
563.773,464.2545
564.24,472.32
564.707,480.726
565.174,489.132
565.641,497.538
566.108,505.026
566.574,509.453
567.041,513.8895
567.507,518.3165
567.973,522.7435
568.44,531.14
568.906,539.761
569.372,548.382
569.838,557.003
570.304,565.32
570.769,573.4575
571.235,581.6125
571.7,589.75
572.166,598.735
572.631,609.1975
573.096,619.66
573.561,630.1225
574.026,640.507
574.491,649.5745
574.956,658.642
575.42,667.69
575.885,676.7575
576.349,688.772
576.814,701.792
577.278,714.784
577.742,727.776
578.206,740.562
578.67,753.09
579.134,765.618
579.598,778.146
580.061,790.6775
580.525,803.4375
580.988,816.17
581.452,828.93
581.915,841.6625
582.378,856.096
582.841,870.912
583.304,885.728
583.766,900.512
584.229,914.7555
584.692,928.414
585.154,942.043
585.617,955.7015
586.079,970.3575
586.541,989.9925
587.003,1009.6275
587.465,1029.2625
587.927,1048.8975
588.389,1065.615
588.85,1081.75
589.312,1097.92
589.773,1114.055
590.235,1131.2825
590.696,1149.492
591.157,1167.7015
591.618,1185.911
592.079,1205.0685
592.54,1228.81
593.001,1252.5515
593.461,1276.2415
593.922,1299.983
594.382,1318.707
594.842,1336.417
595.303,1354.1655
595.763,1371.8755
596.223,1391.704
596.683,1413.784
597.143,1435.864
597.602,1457.896
598.062,1480.069
598.521,1502.7895
598.981,1525.5595
599.44,1548.28
599.899,1571.0005
